AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.06.2018 at 17:14:50 Compatible with AeroDyn v13.0.
Polar "NACA0021_Re3.000_M0.02_N9.0 360 V" on Foil "NACA0021_Re3.000_M0.02_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
6.43194        Cn slope for zero lift for linear Cn curve (1/rad)
1.0396         Cn at stall value for positive angle of attack for linear Cn curve
-1.0388        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0066         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0227    0.0004
   -178.00    0.0453    0.0016
   -177.00    0.0679    0.0036
   -176.00    0.0904    0.0063
   -175.00    0.1128    0.0099
   -174.00    0.1351    0.0142
   -173.00    0.1572    0.0193
   -172.00    0.1791    0.0252
   -171.00    0.2008    0.0318
   -170.00    0.2222    0.0392
   -169.00    0.2434    0.0473
   -168.00    0.2643    0.0562
   -167.00    0.2849    0.0658
   -166.00    0.3051    0.0761
   -165.00    0.3249    0.0871
   -164.00    0.3443    0.0988
   -163.00    0.3634    0.1111
   -162.00    0.3819    0.1241
   -161.00    0.4001    0.1378
   -160.00    0.4177    0.1521
   -159.00    0.4348    0.1670
   -158.00    0.4514    0.1824
   -157.00    0.4674    0.1985
   -156.00    0.4829    0.2151
   -155.00    0.4978    0.2322
   -154.00    0.5121    0.2498
   -153.00    0.5257    0.2679
   -152.00    0.5387    0.2865
   -151.00    0.5511    0.3056
   -150.00    0.5627    0.3250
   -149.00    0.5737    0.3448
   -148.00    0.5840    0.3651
   -147.00    0.5936    0.3856
   -146.00    0.6025    0.4065
   -145.00    0.6106    0.4277
   -144.00    0.6180    0.4491
   -143.00    0.6246    0.4708
   -142.00    0.6305    0.4928
   -141.00    0.6356    0.5149
   -140.00    0.6399    0.5371
   -139.00    0.6435    0.5595
   -138.00    0.6462    0.5821
   -137.00    0.6482    0.6047
   -136.00    0.6494    0.6273
   -135.00    0.6498    0.6500
   -134.00    0.6494    0.6727
   -133.00    0.6482    0.6953
   -132.00    0.6462    0.7179
   -131.00    0.6435    0.7405
   -130.00    0.6399    0.7629
   -129.00    0.6356    0.7851
   -128.00    0.6305    0.8072
   -127.00    0.6246    0.8292
   -126.00    0.6180    0.8509
   -125.00    0.6106    0.8723
   -124.00    0.6025    0.8935
   -123.00    0.5936    0.9144
   -122.00    0.5840    0.9349
   -121.00    0.5737    0.9552
   -120.00    0.5627    0.9750
   -119.00    0.5511    0.9944
   -118.00    0.5387    1.0135
   -117.00    0.5257    1.0321
   -116.00    0.5121    1.0502
   -115.00    0.4978    1.0678
   -114.00    0.4829    1.0849
   -113.00    0.4674    1.1015
   -112.00    0.4514    1.1176
   -111.00    0.4348    1.1330
   -110.00    0.4177    1.1479
   -109.00    0.4001    1.1622
   -108.00    0.3819    1.1759
   -107.00    0.3634    1.1889
   -106.00    0.3443    1.2012
   -105.00    0.3249    1.2129
   -104.00    0.3051    1.2239
   -103.00    0.2849    1.2342
   -102.00    0.2643    1.2438
   -101.00    0.2434    1.2527
   -100.00    0.2222    1.2608
    -99.00    0.2008    1.2682
    -98.00    0.1791    1.2748
    -97.00    0.1572    1.2807
    -96.00    0.1351    1.2858
    -95.00    0.1128    1.2901
    -94.00    0.0904    1.2937
    -93.00    0.0679    1.2964
    -92.00    0.0453    1.2984
    -91.00    0.0227    1.2996
    -90.00   -0.0000    1.3000
    -89.00   -0.0228    1.2978
    -88.00   -0.0459    1.2948
    -87.00   -0.0691    1.2910
    -86.00   -0.0926    1.2864
    -85.00   -0.1162    1.2811
    -84.00   -0.1399    1.2749
    -83.00   -0.1638    1.2680
    -82.00   -0.1877    1.2604
    -81.00   -0.2116    1.2519
    -80.00   -0.2356    1.2427
    -79.00   -0.2596    1.2328
    -78.00   -0.2836    1.2222
    -77.00   -0.3075    1.2108
    -76.00   -0.3314    1.1988
    -75.00   -0.3552    1.1860
    -74.00   -0.3788    1.1726
    -73.00   -0.4023    1.1585
    -72.00   -0.4257    1.1437
    -71.00   -0.4489    1.1284
    -70.00   -0.4719    1.1124
    -69.00   -0.4948    1.0958
    -68.00   -0.5173    1.0786
    -67.00   -0.5397    1.0609
    -66.00   -0.5618    1.0426
    -65.00   -0.5836    1.0239
    -64.00   -0.6052    1.0046
    -63.00   -0.6264    0.9849
    -62.00   -0.6474    0.9647
    -61.00   -0.6681    0.9440
    -60.00   -0.6884    0.9230
    -59.00   -0.7085    0.9016
    -58.00   -0.7282    0.8798
    -57.00   -0.7476    0.8578
    -56.00   -0.7667    0.8354
    -55.00   -0.7854    0.8127
    -54.00   -0.8039    0.7897
    -53.00   -0.8220    0.7666
    -52.00   -0.8398    0.7432
    -51.00   -0.8574    0.7197
    -50.00   -0.8747    0.6960
    -49.00   -0.8917    0.6723
    -48.00   -0.9084    0.6484
    -47.00   -0.9250    0.6244
    -46.00   -0.9413    0.6005
    -45.00   -0.9575    0.5765
    -44.00   -0.9735    0.5525
    -43.00   -0.9894    0.5286
    -42.00   -1.0053    0.5048
    -41.00   -1.0212    0.4811
    -40.00   -1.0371    0.4575
    -39.00   -1.0531    0.4341
