AeroDyn airfoil file Created with QBlade v0.963 64bit on 07.06.2018 at 09:27:00 Compatible with AeroDyn v13.0.
Polar "NACA2321_Re2.200_M0.02_N9.0 360 M" on Foil "NACA2321_Re2.200_M0.02_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.97          Angle of attack for zero Cn for linear Cn curve (deg)
6.22033        Cn slope for zero lift for linear Cn curve (1/rad)
-1.0961        Cn at stall value for positive angle of attack for linear Cn curve
-1.1170        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0072         Minimum CD value
   -180.00   -0.0428    0.0060
   -179.00    0.0404    0.0064
   -178.00    0.1236    0.0075
   -177.00    0.2068    0.0094
   -176.00    0.2900    0.0121
   -175.00    0.3732    0.0155
   -174.00    0.4562    0.0196
   -173.00    0.5342    0.0245
   -172.00    0.5897    0.0301
   -171.00    0.5981    0.0364
   -170.00    0.5553    0.0434
   -169.00    0.4892    0.0512
   -168.00    0.4297    0.0596
   -167.00    0.3885    0.0688
   -166.00    0.3645    0.0786
   -165.00    0.3531    0.0890
   -164.00    0.3500    0.1001
   -163.00    0.3524    0.1118
   -162.00    0.3582    0.1242
   -161.00    0.3660    0.1371
   -160.00    0.3750    0.1507
   -159.00    0.3847    0.1648
   -158.00    0.3947    0.1794
   -157.00    0.4047    0.1946
   -156.00    0.4144    0.2103
   -155.00    0.4239    0.2265
   -154.00    0.4329    0.2431
   -153.00    0.4414    0.2602
   -152.00    0.4493    0.2778
   -151.00    0.4566    0.2957
   -150.00    0.4634    0.3140
   -149.00    0.4694    0.3327
   -148.00    0.4748    0.3518
   -147.00    0.4796    0.3711
   -146.00    0.4836    0.3907
   -145.00    0.4870    0.4106
   -144.00    0.4896    0.4308
   -143.00    0.4916    0.4512
   -142.00    0.4929    0.4717
   -141.00    0.4934    0.4925
   -140.00    0.4934    0.5134
   -139.00    0.4926    0.5344
   -138.00    0.4912    0.5555
   -137.00    0.4891    0.5766
   -136.00    0.4864    0.5978
   -135.00    0.4830    0.6190
   -134.00    0.4790    0.6402
   -133.00    0.4744    0.6614
   -132.00    0.4692    0.6825
   -131.00    0.4635    0.7036
   -130.00    0.4571    0.7245
   -129.00    0.4502    0.7453
   -128.00    0.4428    0.7659
   -127.00    0.4348    0.7863
   -126.00    0.4264    0.8065
   -125.00    0.4174    0.8265
   -124.00    0.4080    0.8462
   -123.00    0.3982    0.8657
   -122.00    0.3879    0.8848
   -121.00    0.3771    0.9036
   -120.00    0.3660    0.9221
   -119.00    0.3545    0.9401
